% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
20.882987328,18.08155718,33.3,7.2,34.7,69.130124059,15.026031257,8.7216859511,41,90.0,62.009973681,3.6290788612,19.3,5.2345972691,26.242679081,272.28222006,11.7,14.663461538
17.50913436,17.489032597,31.0,8.0,26.5,73.713548953,17.958310103,11.333404467,44,86.361576801,67.371619818,3.6153821564,13.9,4.4177666786,24.139601453,203.66039629,10.3,13.566200931
29.591801708,21.999984528,41.7,5.6,23.5,53.166769858,12.844015554,12.242792457,37,81.41025641,34.857648621,5.1713842112,43.9,5.6814100186,56.603426045,414.27786068,11.5,14.583333333
19.439724157,19.114199885,37.6,7.8,33.5,16.251363736,15.570042367,10.206252586,38,83.763837638,44.137353434,3.9718277335,27.8,4.3685805106,28.689236111,89.349125982,11.2,10.496453901
21.745292814,19.20867197,33.8,8.4,30.3,15.634485887,14.230593827,13.360759494,39,93.468795356,53.361073248,3.5111573222,18.0,4.4302623315,28.561827957,482.69061089,11.7,10.548011639
30.999101851,22.894664011,37.2,4.3,24.6,2.5013743815,12.094101229,11.440376122,28,70.247933884,34.976094152,4.6901172529,68.3,7.4101959944,74.789915966,311.0273327,11.2,18.143459916
27.910673184,21.765334963,43.3,6.6,39.5,48.57974889,11.85740343,11.186009539,35,81.589958159,41.678756477,4.7902176352,36.3,5.4235955818,52.712836348,581.58400519,10.6,13.159609121
23.107733221,20.612560375,38.5,6.9,31.7,47.721215801,13.842230147,11.929167524,38,92.368045649,59.243988636,4.6528321587,26.5,5.0238964487,40.191944746,756.06654427,11.8,13.734191258
23.995473603,19.392927053,40.1,6.4,30.1,61.864679234,12.745734617,11.938076809,42,86.23853211,48.460334029,3.9080911233,30.7,4.7449321347,46.555443693,528.99973623,11.4,15.9566787
20.698470599,17.498673785,35.0,8.3,31.3,33.429527877,14.106562852,11.172649917,41,94.904458599,51.836210062,3.5708139735,24.7,4.7084650307,23.778749287,330.43879198,11.4,13.0
21.185462911,20.188979064,37.7,8.1,33.2,46.293792819,14.509374576,13.759705874,42,88.205980066,39.905569642,3.6095707537,23.3,5.1076679484,34.885046551,507.81072095,11.2,13.29723225
24.863531285,18.79324829,41.3,6.4,36.2,28.934266542,11.642290616,11.342078708,34,78.632478632,58.008658009,5.5389859395,32.1,5.8600957203,48.06231003,128.41466262,10.1,11.061151079
25.23508481,20.579655316,34.1,5.4,34.6,25.270003484,11.869010519,11.926366291,28,90.909090909,38.229960102,7.473449587,31.7,8.4689826303,37.012743628,475.31243598,10.4,12.035583464
